bugurt,prompt
"ЗАХОДИШЬ В ЛЮБОЙ КРУПНЫЙ ТГ-КАНАЛ  
@  
ОН ЧТО-ТО ЗНАЕТ: ФИНАНСИСТ РАССКАЗАЛ В ЗАКРЫТОМ КАНАЛЕ, ПОЧЕМУ ЭС ПИШЕТСЯ КАК ДОЛЛАР  
@  
А ВЫ ЗНАЛИ КАК ВЫГЛЯДИТ КЛЕОПАТРА ПОД МИКРОСКОПОМ????  
@  
ШОК ЖЕСТЬ ТРЕШ!!! В МОСКВЕ ВМЕСТО КОНЬКОВ-ГОРБУНКОВ МУЖИКУ ДАЛИ ПЁСИКОВ-БАРБОСИКОВ!!! ПРЯМАЯ ТРАНСЛЯЦИЯ В ""СТАМЕСКЕ""!!!  
@  
ЖИТЕЛИ АСТРАХАНИ! ~~ВЫ ЕБАНУТЫЕ?~~ НАШЛИ ДЛЯ ВАС КАНАЛ С ПОДБОРКОЙ САМЫХ КЛЁВЫХ МЕСТ ВАШЕГО ГОРОДА! ПОДПИШИСЬ ЧТОБ НЕ ЗАБЫТЬ!  
@  
НЕЙРОСЕТЬ НАУЧИЛАСЬ ГЕНЕРИРОВАТЬ КОНТЕНТ СОСТОЯЩИЙ ИЗ ""ПИСЯПОПА"" ПРОДОЛЖЕНИЕ В КАНАЛЕ  
@  
РЕБЯТА ВЫ ИЗДЕВАЕТЕСЬ??? ВОТ НАШ КРИПТОИНВЕСТОР ГОШАН ФАРТОВЫЙ ПОКАЗЫВАЕТ КАК МОЖНО ~~НАЕБАТЬ~~ ЗАРАБОТАТЬ ДОСТУПНО И КАЖДОМУ!  
@  
СТУДЕНТЫ УГОВОРИЛИ УГАРНОГО ПРЕПОДА СОЗДАТЬ СВОЙ ТЕЛЕГРАМ-КАНАЛ!   
— ПОШЛИ ВЫ НАХУЙ, — ЛОВКО ПАРИРОВАЛ УГАРНЫЙ ПРЕПОД  
@  
ПОЧТИ ВСЕ РЕКЛАМИРУЕМЫЕ КАНАЛЫ — ПУСТЫШКИ-ОДНОДНЕВКИ, ПОСТЯЩИЕ ПОВТОРЯЮЩИЙСЯ ГОВНОКОНТЕНТ И ПРОДАЮЩИЕ ТАКУЮ ЖЕ РЕКЛАМУ  
@  
ВЫХОДИШЬ ИЗ ТЕЛЕГРАМА",
"КРОХА-СЫЧ К ОТЦУ ПРИШЕЛ  
СПРОСИЛ, НАХМУРИВ БРОВИ:  
""БАТЯ, БАТЯ, НАУЧИ  
СУП ЖАРЕНЫЙ ГОТОВИТЬ!""  
@  
""НУ ЧТО ЖЕ, СЛАВК, НАСТАЛ ТВОЙ ЧАС  
УЗНАТЬ СЕКРЕТ СЕМЕЙНЫЙ!  
РЕЦЕПТ ДЛЯ ДОЛГИХ ЖИЗНИ ЛЕТ  
И СИЛ ДЛЯ СОХРАНЕНЬЯ!  
@  
ЗАЛЕЙ СТОЛЕТНИЙ МАМКИН БОРЩ  
В СКОВОРОДУ ЧУГУННУЮ,   
КАК МОЛОТ НА ГЕРБЕ СТРАНЫ!  
И ЛУЧШЕ В НОЧЬ БЕЗЛУННУЮ  
@  
ДОБАВЬ ЛУЧОК, МУКУ, ЧЕСНОК  
И СЫР С БУРЖУЙСКОЙ ПЛЕСЕНЬЮ  
ОГОНЬ! МЕШАЙ И ДЕКЛАМИРУЙ  
СТИХ ПРО БУРЕВЕСТНИКА!  
@  
ТЕПЕРЬ ЗАСЫПЬ ВВЕЗЕННЫЙ С КУБЫ  
КРАСНЫЙ ПЕРЕЦ ЧИЛИ  
СЫПЬ БОЛЬШЕ! БОЛЬШЕ!! НЕ ЖАЛЕЙ!  
ТАК, ЧТОБ ГЛАЗА СЛЕЗИЛИСЬ!  
@  
А ДАБЫ БЫЛ ЕЩЁ ВКУСНЕЕ  
СУП, ЧТО ТЫ СОСТРЯПАЛ  
ЕШЬ И ПРИГОВАРИВАЙ ""УХ, БЛЯ""   
И ЛОЖКОЙ ШКРЯБАЙ, ШКРЯБАЙ!  
@  
ПОЕВ, ДАЙ ПРОЛЕТАРСКИЙ ЗАЛП  
ХОШЬ СИДЯ, ХОЧЕШЬ СТОЯ!   
СУП УДАЛСЯ НА СЛАВУ, КОЛЬ  
ОТКЛЕЯТСЯ ОБОИ  
@  
ТЕПЕРЬ - В ТОЛКАН! КАК ПАРТИЗАН  
В ЗАСАДЕ С ПУЛЕМЕТОМ  
СХВАТИСЬ ПОКРЕПЧЕ ЗА СТУЛЬЧАК  
И БУДЬ ГОТОВ КО ВЗЛЕТУ!""",
"ТОВАРИЩ! ЗАСТОЛЬЯ  
 ПОРОЮ СКУЧНЫ  
@  
ПРИШЛО ВРЕМЯ ДЛЯ  
 УДИВЛЕНИЯ!  
@  
СВЕТИЛА НАУКИ  
 К ОТКРЫТЬЮ ПРИШЛИ  
@  
ПРЕДСТАВИВ   
 ИЗОБРЕТЕНИЕ!  
@  
ТЕБЕ НУЖНО ЛИШЬ  
 ПРИГОТОВИТЬ ПИРОГ  
@  
НО ПОМНИ —   
 ТОЛЬКО БИСКВИТНЫЙ!  
@  
А ДАЛЬШЕ — В СЕБЯ!  
 НО НЕ ЧЕРЕЗ РОТ!  
@  
ПУСТЬ В ЭТОМ  
 ПОМОЖЕТ СВИТА  
@  
ЗАЛИВ ЭТУ МАССУ   
 СКВОЗЬ ЗАДНИЙ ПРОХОД  
@  
НЕМЕДЛЯ ВЕРНИСЬ   
 ОБРАТНО!  
@  
ТУДА, ГДЕ СОБРАЛСЯ  
 ПЛЕБЕЕВ СБРОД —  
@  
СЕГОДНЯ  
 ВСЕ БУДУТ РАДЫ!  
@  
ВКЛЮЧИ АГИЛЕРУ —  
 СЕГОДНЯ ТЫ ЛЕВ!  
@  
И ТУТ ЖЕ  
 САДИСЬ НА КРОВАТЬ  
@  
НО ТОЛЬКО НАЧНЁТСЯ  
 В ПЕСНЕ ПРИПЕВ —  
@  
НАЧИНАЙ ЖЕ  
 УЖЕ  
 БУРЛЕСТАТЬ!  
@  
УСТРОЙ ИМ ФОНТАН!  
 УСТРОЙ ИМ БУРЛЕСК!  
@  
ТАНЦУЙ, ДАЖЕ ЕСЛИ   
 СЛОЖНО!  
@  
ТВОЙ ДРУГ ЗА ТЕБЯ  
 ВСЕ ОСТАТКИ ДОЕСТ!  
@  
БУРЛЕСТАТЬ —   
 ЭТО МОЛОДЁЖНО!",
"РОДИТЕЛИ НАЗВАЛИ СТАСОМ  
@  
УВЛЕКСЯ АНИМЕШНЫМИ АВТОМОБИЛЯМИ  
@  
ТЕПЕРЬ ТЫ СТАСЯО-САН  
@  
#антибугурт",
"ПРИБЛИЖАЕТСЯ ДР МАМАН  
@  
«Мне ничего не надо»  
@  
НИЧЕГО НЕ ДАРИШЬ  
@  
«неблагодарный, хоть бы цветов купил»",
"ЗАЧАТИЯ ТАИНСТВО  
 УСПЕШНО ПРОШЛО  
@  
ЯВИВ СЕМУ СВЕТУ  
 СЫНА  
@  
И МАТЕРЬ С ОТЦОМ НАД КОЛЫБЕЛЬЮ  
@  
ИЗБРАЛИ ЮНОШЕ  
 ИМЯ  
@  
ГОГОЧЕТ УЧИЛИЩЕ  
 ОСКАЛОМ СВЕРКАЯ  
@  
 ПРОФЕССОР ГЛАГОЛИТ  
 БАСОМ  
@  
ЧЕГО ОЖИДАЛИ ТАКИЕ РОДИТЕЛИ  
@  
ЧТО СЫНА НАЗВАЛИ СТАСОМ",
"ТЫ ЖЕЛЕЗНОДОРОЖНИК  
@  
ДА, ТОТ САМЫЙ  
@  
ХОЛОДАЕТ, НУЖНО НА ЮГА ЕХАТЬ  
@  
БЕРЁШЬ ПОДМЫШКУ ТЯН, ЧЕМОДАН И ИДЕШЬ РЕГИСТРИРОВАТЬ БИЛЕТЫ  
@  
ПОЕЗДОМ, ИЛИ САМОЛЁТОМ?  
@  
ПФ, КАК НАСТОЯЩИЙ РАБОТНИК ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА, ЕСТЕСТВЕННО ВЫБИРАЕШЬ САМОЛЁТ  
@  
-ОЙ НУ СЫЧУУУШ, НУ ВОТ ПОМНИШЬ КАК ЛАМПОВО КУРОЧКУ В ПЛАЦКАРТЕ С РОДИТЕЛЯМИ КУШАЛИ, КАК С СОСЕДЯМИ В КАРТИШКИ РУБИЛИСЬ, КАК В ОКОШКО СМОТРЕЛИ - ВЫДАВЛИВАЕТ ТЯН  
@  
ОЙ НУ ПОЕЗД ТАК ПОЕЗД, НЕ ПРИВЫКАТЬ, ЕХАТЬ ПАРУ СУТОК, ЧТО МОЖЕТ БЫТЬ ПРОЩЕ  
@  
@  
@  
ВАШИ СОСЕДИ: БАБУЛЬКА, ВЕСЁЛАЯ ДЕВАХА, ЖЕНЩИНА СРЕДНИХ ЛЕТ  
@  
ТРИ ЗЕКА, ДВА ЧЕБУРЕКА, ПЯТЬ ДЕМБЕЛЕЙ, СЕМЕРО РАЗНОЦВЕТНЫХ ДЕТЕЙ ОДНОЙ МАМАШИ, И ДЕД  
@  
ЗАЛАЗИШЬ НА ВЕРХНЮЮ ПОЛКУ, ПРИКРЫВАЕШЬ ГЛАЗКИ  
@  
В ВАГОНЕ ТИШИНА, ТОЛЬКО ВОТ БАБУЛЬКА ЧУТКА ПОХРАПЫВАЕТ  
@  
ЧЕРЕЗ ПЯТНАДЦАТЬ МИНУТ, ВСЕМ ВАГОНОМ ДУМАЕТЕ КАК БЕСШУМНО ЛИКВИДИРОВАТЬ БАБКУ, ПОТОМУ ЧТО ОТ ЕЁ ХРАПА ШАТАЮТСЯ СТЕНЫ  
@  
КСТАТИ ЭТОТ ПЕРСОНАЖ БОЛЬШЕ НЕ БУДЕТ ФИГУРИРОВАТЬ В РАССКАЗЕ, НО НЕ СТОИТ ЗАБЫВАТЬ, ЧТО ВЕСЬ ВАГОН ЗАПОЛНЯЕТСЯ АДОВОЙ МУЗЫКОЙ ЕЁ ХРАПА, ПРИЧЕМ КРУГЛОСУТОЧНО   
@  
В 3:20 АККУРАТНО ЛОВИШЬ ПРИСТУП СНА  
@  
В 4:20 НА ВЕСЬ ВАГОН ИГРАЕТ ДЕНЬ ПОБЕДЫ  
@  
ДЕДУШКА СЛУШАЕТ МУЗЫКУ, ПОТОМУ ЧТО МОЖЕТ, АЧО)  
@  
ПРОСНУВШИСЬ ВЕСЬ ВАШ КАКАН, ДРУЖНО СТЯГИВАЮТСЯ К ТУАЛЕТУ  
@  
НУ КАК К ТУАЛЕТУ  
@  
К ДЫРКЕ В ВАГОНЕ  
@  
МАТ, СТОНЫ, КРИКИ, ДАВКА, ПОНОЖОВЩИНА, КРОВЬ, КИШКИ, СМЕТАНА, КРАБОВЫЕ ПАЛОЧКИ  
@  
ПОЧИСТИЛИ ЗУБКИ  
@  
ЗЕКИ УЖЕ ДОБИВАЮТ ТРЕТЬЮ 0.7 ЯДЕР-КОЛЫ  
@  
ЧЕРЕЗ ПОЛ ЧАСА ДЕМБЕЛЯ ДОБИВАЮТ ТРЕТЬЕГО ЗЕКА  
@  
ЧЕБУРЕКИ ВСЁ ЭТО ВРЕМЯ БАЗАРЯТ НА СВОЁМ, ИГРАЮТ В НАРДЫ, НА ГУБНОЙ ГОРМОШКЕ, И УСТРАИВАЮТ СВАДЬБУ ПО ВИДЕОЗВОНКУ  
@  
ДЕДОК КСТАТИ ТОЖЕ НЕ ОТСТАЁТ, НАКИДАВШИСЬ ПИВКОМ ОН НАБЛЮДАЕТ ЗА ДЕМБЕЛЯМИ  
@  
ПОКАЗЫВАЕТ ПРЫЖОК С ПАРАШЮТА  
@  
С ВЕРХНЕЙ ПОЛКИ  
@  
БЕЗ ПАРАШЮТА  
@  
ДЕДА УНОСЯТ  
@  
НА СТАНЦИИ ПЛАЦКАРТОВО К ЗЕКАМ ПРИХОДИТ ПОДКРЕПЛЕНИЕ  
@  
ДОБРАВШИСЬ ДО ОЧЕРЕДНОЙ ПОРЦИИ ЯДЕР-КОЛЫ ОНИ ДОБИРАЮТСЯ И ДО ДЕМБЕЛЕЙ  
@  
НЕОЖИДАННО НА СТОРОНУ ДЕСАНТНИКОВ СТАНОВЯТСЯ ЧУРБАНЫ  
@  
ТАКЖЕ ВЛЕТАЕТ ДЕД  
@  
ВЛЕТАЕТ, УДАРЯЕТСЯ ЧЕРЕПУХОЙ ОБ ВЫСТУП, И УЛЕТАЕТ ОБРАТНО  
@  
ПОСЛЕ КРОВАВОЙ ВОЙНЫ НАРОДОВ ПРИКЛАДЫВАЯ ПУСТЫЕ БУТЫЛКИ, К ПУСТЫМ ГОЛОВАМ ВСЕ ОТДЫХАЮТ  
@  
А НЕТ, ПРОСНУЛИСЬ ВСЕ СЕМЬ ДЕТЕЙ  
@  
БЕГАЮТ, КРИЧАТ, ВЕСЕЛЯТСЯ  
@  
ОДИН ИЗ ДЕМБЕЛЕЙ ЗАСТАВЛЯЕТ ИХ МАРШИРОВАТЬ, И БЬЁТ ШЕЛБАНЫ  
@  
ВЕСЁЛАЯ ДАМА КОТОРУЮ Я УПОМЯНУЛ ВЫШЕ, СИДИТ НА ВЕРХНЕЙ ПОЛКЕ, И КОНСКИМ СМЕХОМ УССЫВАЕТСЯ СО ВСЕГО ПРОИСХОДЯЩЕГО  
@  
ПОПИВАЕШЬ ЯБЛОЧНЫЙ СОК, ЗАНЮХИВАЯ НОСКАМИ СОСЕДА, ПОНИМАЕШЬ ЧТО ТЫ УМЕР, И ВСЁ ЭТО ЧИСТИЛИЩЕ",
"ТЫ НЕ В ВОСТОРГЕ, КОГДА ЛЮДИ ПРИСТАЮТ С ДОЛГИМИ ДИАЛОГАМИ  
@   
В РАЗГОВОРЕ ТЫ РЕЗКИЙ, И КРАТКИЙ  
@  
ВЕРИШЬ, ЧТО ДРУГИХ ЛЮДЕЙ РАЗГОВОРЧИВОСТЬ РАЗДРАЖАЕТ ТАК ЖЕ СИЛЬНО  
@  
А ПОЭТОМУ 99% ВРЕМЕНИ ПРОВОДИШЬ МОЛЧА, С МУЗЫКОЙ ИЛИ СЕРИАЛАМИ  
@   
ТОТ ЕДИНСТВЕННЫЙ ПРОЦЕНТ РАЗГОВОРОВ НАПРАВЛЕН НА ПОКУПКУ В КБ-ШКЕ И НА СКОРЕЙШЕЕ ЗАВЕРШЕНИЕ ЛЮБОГО ДИАЛОГА",
"ЗАХОДИШЬ В ТЕЛЕГУ  
@  
БЫСТРЕНЬКО ДРОЧИШЬ  
@  
ВЫХОДИШЬ  
@  
ТЫ КУЧЕР  
@  
#антибугурт",
"САМАЯ КРУТАЯ РПГ ИГРА, ИГРАЙ ПОКА ЖЕНЫ НЕТ ДОМА...  
@  
ПАРНИ ЕСЛИ ХОТИТЕ ЧТО БЫ ВАШ ЧЛЕН БЫЛ КАК У НЕГРА, НУЖНО ЛИШЬ ВТЕРЕТЬ...   
@  
ИРИНА В 5 МЕТРАХ ОТ ВАС, ИЩУ МУЖЧИНУ ЧТО БЫ МЕНЯ ТРАХАЛ...  
@  
В ЭТОЙ ИГРЕ ТЫ КОНЧИШЬ ВСЕГО ЗА 30 СЕКУНД, СОЗДАЙ СВОЕГО СЕКС ПЕРСОНАЖА...  
@  
ВАНГА ПРЕДСКАЗАЛА ЧТО ЖДЕТ РОССИЯН В 2023 ГОДУ!  
@  
ЗАРАБАТЫВАЮ ПО 100 ТЫСЯЧ НА ЭТОМ САЙТЕ...  
@  
ЭТА МАЛЕЬНКАЯ ХИТРОСТЬ С БЕНЗИНОМ ПОВЕРГЛА ВСЕХ АВТОЛЮБИТЕЛЕЙ В ШОК, ОКАЗЫВАЕТСЯ НАДО...  
@  
ВСЕГО ОДНА КАПЛЯ ЭТОГО ПРЕПАРАТА, И ЖЕНЩИНА БУДЕТ ВАС ЛАСКАТЬ...",
"РОДИТЕЛИ НАЗВАЛИ ТЕБЯ ДАНИИЛОМ  
@  
ДЛЯ ДРУЗЕЙ ЖЕ ТЫ:  
@  
ДАНОН  
@  
ДАУНИЛ  
@  
ДАНИССИМО  
@  
ДАНБЛДОР  
@  
ДАНКРАТ  
@  
ВОР ДАНДЕР  
@  
НА ЖОПНОЙ ТЯГЕ ЛЕТИШЬ НА МАРС ПОТОМУ ЧТО ТАМ НИКОГО НЕТ",
"ВЫУЧИЛСЯ НА ПРОГРАММИСТА  
@  
РАБОТАЕШЬ БУХГАЛТЕРОМ  
@  
ВЗЯЛ ВТОРОЕ ОБРАЗОВАНИЕ БУХГАЛТЕРА  
@  
РАБОТАЕШЬ ПРОГРАММИСТОМ  
@  
В 1С",
"ХОЧЕШЬ ТЯНОЧКУ  
@  
ПЫТАЕШЬСЯ В ХОТЬ КАКОЙ ТО ДИАЛОГ (#достаточно)  
@  
ТЯНОЧКА САМА ПЫТАЕТСЯ В ДИАЛОГ   
@  
ПУТАЕШЬСЯ И ИЗБЕГАЕШЬ ЕЁ ВСЕМИ СИЛАМИ",
"НАСТУПАЕТ НОЯБРЬ  
@  
ДУРАЧКИ ПОД НАЗВАНИЕМ ""СИТХИ"" ПЫТАЮТСЯ ОПРАВДАТЬСЯ,ЧТО ОНИ НЕ УСПЕЛИ ЕЩЕ ПОДРОЧИТЬ И ЧТО ОНИ НЕ УЧАВСТВОВАЛИ В ЭТОЙ ХУЙНЕ  
@  
ДРУГИЕ ДУРАЧКИ ПОД ИМЕНЕМ ""ДЖЕДАИ"" ГОВОРЯТ,ЧТО ""СИТХИ"" ЛОШКИ СЛАБОВОЛЬНЫЕ И ЧТО НЕ МОГУТ ПОТЕРПЕТЬ РАДИ(я сам хуй знает,ради чего эта хуйня делается)  
@  
(ХОТЯ САМИ УЖЕ ВЗДРОЧНУЛИ ПАРУ СОТЕН РАЗ ТАК ТОЧНО)  
@  
ЗАБИВАЕШЬ БОЛТ НА ЭТО ДЕЛО,ПОТОМУ ЧТО ЛИШАТЬ СЕБЯ УДОВОЛЬСТВИЯ ПРОСТО ПОТОМУ ЧТО ЭТО ЛЕВЫЙ ЧЕЛ ПРИДУМАЛ — НЕ АРГУМЕНТ",
"ЧТОБ СКУКУ РАЗВЕЯТЬ,   
                                   ДОБЫТЬ СЕБЕ СЛАВЫ  
И БЫТЬ ПОЛЕЗНЫМ ПРИЭТОМ  
@  
РЕШИЛ Я ВОСПРЯТЬ   
                              ИЗ ДУХОВНОЙ КАНАВЫ  
--- СТАТЬ ПРОЛЕТАРСКИМ ПОЭТОМ!  
@  
ПИШУ О ЛЮБВИ,   
                            О ТЯЖЁЛОЙ БОРЬБЕ,   
О ТРУДЕ, О ВЕЛИКОМ МАРКСЕ   
@  
""МЛАДЦА, МЛАДЦА!""   
                                 СКАНДИРУЕТ МНЕ  
АЛЛАХ НА ДАЛЁКОМ МАРСЕ   
@  
НО ВОТ УЖ БЕДА!   
                               В СЕТИ МИРОВОЙ   
РУГАЮТ МЕНЯ БАЛАБОЛЫ   
@  
ИБО КАЖДЫЙ СТИХ,   
                        СОТВОРЁННЫЙ МНОЙ   
РИФМУЕТСЯ НА ГЛАГОЛЫ  
@  
МАХНУЛ Я РУКОЙ --  
                               ТО ВСЁ ПУСТЯКИ!   
КАК ВДРУГ ИЗ-ЗА ДРЕВНИХ БАРХАНОВ  
@  
ВРЫВАЮТСЯ В ДОМ   
                             НА КОНЯХ СТЕПНЯКИ   
-- ВОИНЫ ВЕЛИКОГО ХАНА  
@  
СВОЙ МЕЧ ОБНАЖАЮТ   
                               И ЛУК С ТЕТИВОЙ   
ГОТОВЯТ К СМЕРТЕЛЬНОЙ СХВАТКЕ   
@  
ОДНАКО ПРОБЛЕМА   
                            У НИХ В БОЛЬШОЙ   
ПОЛОВЫХ ПАРТНЁРОВ НЕХВАТКЕ   
@  
УГОВОР БЫЛ ТАКОВ:  
                ОНИ СОХРАНЯТ   
                  ЖИЗНЬ МОЛОДОМУ АРТИСТУ  
@  
НО РОТ МОЙ --   
        КАК ПЛЕННИК В ОБЪЯТЬЯХ ОКОВ   
ОНИ ЖЕ В НЁМ - СЛОВНО ТУРИСТЫ   
@  
ДРУЗЬЯ!   
             ЕСЛИ ВАМ НЕПРИЯТНО   
ЧТО В В ГОСТЯХ И ВО РТУ МОНГОЛЫ   
@  
ТО ПОДУМАЙТЕ ВЫ   
                          ПЯТИКРАТНО  
ПРЕЖДЕ ЧЕМ РИФМОВАТЬ НА ГЛАГОЛЫ",
"РОДИТЕЛИ НАЗВАЛИ ТЕБЯ АРТËМОМ  
@  
В ТВОИХ НАСТРОЙКАХ ПО УМОЛЧАНИЮ УСТАНОВЛЕНЫ  
@  
ЛЮБОВЬ К АНИМЕ  
@  
ЛЮБОВЬ К ГЕНШИНУ  
@  
ЛЮБОВЬ К МУЖЧИНАМ",
"ТЫ ЖИРНЫЙ СЫЧ  
@  
ЗНАЕШЬ КАК ВАРИТЬ МАКАРОНЫ  
@  
НО ЭТО ЗНАНИЕ ИЗВРАЩАЕТ ТЕБЯ   
@  
К МАКАРОНАМ ХОЧЕТСЯ МЯСА  
@  
СНАЧАЛА ЭТО БЫЛИ СОСИСКИ  
@  
ПОТОМ КУПАТЫ  
@  
ПОТОМ ЗАПЕЧЕНОЕ МЯСО   
@  
ФРИКАДЕЛЬКИ, КОТЛЕТЫ, КУРИЦА, УТКА  
@  
И ВОТ ТЫ НАХОДИШЬ ЕГО  
@  
МЯСО КОТОРОЕ НИКОГДА ЕЩЁ НЕ ГОТОВИЛ  
@  
ОЛЕНИНУ  
@  
РЕЖЕШЬ, ЖАРИШЬ, ТУШИШЬ  
@  
ТЕМПЕРАТУРА ТАКАЯ ЧТО БАТЯ ВЕРНУЛСЯ С СИГАРЕТАМИ ЗА КОТОРЫЕ УШЁЛ ДВАДЦАТЬ ЛЕТ НАЗАД   
@  
И ПОЧЕМУ-ТО С ВЕНИКОМ   
@  
ЗАДУМЫВАЕШЬСЯ О ГАРНИРЕ И ПОНИМАЕШЬ   
@  
МАКАРОНЫ НЕ ПОДОЙДУТ   
@  
ТВОЁ ПЕРВОЕ БЛЮДО  
@  
ПРИЧИНА ТВОЕГО ПАДЕНИЯ   
@  
НЕ ПОДХОДИТ   
@  
НО ВСЕ УЖЕ РЕШЕНО И ТЫ ТРЯСУЩИМИСЯ РУКАМИ НАЧИНАЕШЬ ЧИСТИТЬ КАРТОШКУ.   
@  
И ОНА ПОДХОДИТ   
@  
ЭТО НАСТОЛЬКО ПРЕКРАСНО ЧТО ЕОТ ПРИЗНАЕТСЯ ТЕБЕ В ЛЮБВИ  
@  
ЕРОХА ПРОСИТ ПРОЩЕНИЯ ЗА ВСЕ ГОДЫ УНИЖЕНИЯ   
@  
ДЯДЮ БАФОМЕТА ДАЖЕ ВЫПУСТИЛИ ИЗ ТЮРЬМЫ ЧТОБЫ ОН ЭТО ПОПРОБОВАЛ  
@  
ВСЕ, ДАЖЕ НЕБО, ДАДЕ АЛЛАХ НАЕЛИСЬ ДО ОТВАЛА   
@  
СМОТРИШЬ В КАСТРЮЛЮ   
@  
А ТАМ ЕЩЁ ПОЛОВИНА  
(А чего вы готовили слишком много?)",
"РОДИТЕЛИ НАЗВАЛИ ТЕБЯ ВЯЧЕСЛАВ   
ДЛЯ ДРУЗЕЙ ЖЕ ТЫ:   
@   
СЛАВОН   
@  
СЛАВЯ   
@   
СЛАВЯНКА   
@   
СЛАВЯК   
@   
СЛАВЧИК   
@   
СЛАВЯНУС   
@   
СЛАВЯНСК НА КУБАНИ   
@   
НА ЖОПНОЙ ТЯГЕ УЛЕТАЕШЬ К ВАССЕРМАНУ В НИРВАНУ  
@   
КАЗАЛОСЬ БЫ #АНТИБУГУРТ   
@   
А ОН ТЕБЕ: ЗДАРОВ, СЛАВКА БУЛАВКА",
"СОБИРАЕШЬСЯ НЕ ДРОЧИТЬ ВЕСЬ НОЯБРЬ  
@  
ДА-ДА ТОЛЬКО РАДИ ЧЕЛЛЕНДЖА НЕПОНЯТНО ОТ КОГО И ДЛЯ КОГО  
@  
NNN STARTED PACK:  
@  
ЗАСТОЙ СПЕРМЫ И УХУДШЕНИЕ ЕЁ КАЧЕСТВА  
@  
ПОВЫШЕННЫЙ В N РАЗ РИСК ПОЯВЛЕНИЯ ПРОСТАТИТА И РАКА ЯИЧЕК  
@  
КОЛИЧЕСТВО ТЕСТОСТЕРОНА В ОРГАНИЗМЕ ПОВЫШАЕТСЯ В N РАЗ, КОТОРЫЙ НИКУДА НЕ ВЫПЛЕСКИВАЕТСЯ  
@  
ЗАБОЛЕВАНИЯ ИМУННОЙ СИСТЕМЫ, ВЫЗВАННЫЕ СКОПЛЕНИЕМ ГОРМОНОВ  
@  
ПОДАВЛЕННОЕ СОСТОЯНИЕ, ПОВЫШЕННЫЙ РИСК РАЗВИТИЯ ПСИХИЧЕСКИХ РАССТРОЙСТВ  
@  
ПОЛЛЮЦИИ ПО N РАЗ В ДЕНЬ, УПАКОВКИ СМЕННЫХ ТРУСОВ ПО ТРИ ШТУКИ НА ДЕНЬ УЖЕ ПОДГОТОВЛЕНЫ  
@  
ВОТ И ВСЕ ТРИ N ИЗ NNN СОБРАНЫ  
@  
ВСË ЕЩЁ ХОЧЕШЬ УЧАСТВОВАТЬ?",
"ПРИДУМАЛ ЧЕЛЕНДЖ НЕ БРИТЬСЯ ВЕСЬ НОЯБРЬ   
@  
МУЖИКИ ПОДДЕРЖАЛИ, УГАРАЮТ СО СВОИХ БОРОД ЦЕЛЫЙ МЕСЯЦ  
@  
КАКОЙ-ТО ШКОЛЬНИК ИЗ-ЗА ОТСУТСТВИЯ РАСТИТЕЛЬНОСТИ НА ЛИЦЕ И ПЕРЕИЗБЫТКОМ СПЕРМЫ ПЕРЕДЕЛАЛ ЧЕЛЕНДЖ  
@  
ТЕПЕРЬ ВМЕСТО КАЙФОВОГО ЧЕЛЕНДЖА ДОЛБАЁБЫ В ИНТЕРНЕТАХ ДЕЛЯТСЯ НА ДРОЧАЩИХ И НЕ ДРОЧАЩИХ, ХОТЯ И ТЕ И ТЕ   
@  
ДРОЧИЛИ  
@  
ДРОЧАТ   
@  
И БУДУТ ДРОЧИТЬ",
